,fetched_date,domain,http_code,user_agent,disallow_count,allow_count
302,2023-04-02T12:38:01Z,rapidautoworks.com,200,*,2.0,1.0
303,2023-04-02T11:49:29Z,recovrnj.com,302,,,
304,2023-04-02T10:52:27Z,reimo42main.reimo.com,200,,8.0,0.0
305,2023-04-02T10:53:27Z,reporter.postimees.ee,302,,,
306,2023-04-02T10:54:51Z,represent54.ru,302,,,
307,2023-04-02T11:21:12Z,resortsguides.com,200,,0.0,0.0
308,2023-04-02T11:21:12Z,resortsguides.com,200,*,1.0,0.0
309,2023-04-02T12:54:35Z,robertsonfirst.ca,301,,,
310,2023-04-02T11:19:55Z,roylesgourmet.com,200,,0.0,0.0
311,2023-04-02T11:19:55Z,roylesgourmet.com,200,*,0.0,1.0
312,2023-04-02T11:42:07Z,sabine-groth.com,404,,,
313,2023-04-02T10:55:58Z,scjianzhan.com,404,,,
314,2023-04-02T11:27:55Z,sebastianoriva.it,302,,,
315,2023-04-02T10:52:47Z,selfcarwash.ru,200,,0.0,0.0
316,2023-04-02T10:52:47Z,selfcarwash.ru,200,*,3.0,0.0
317,2023-04-02T10:52:47Z,selfcarwash.ru,200,Yandex,3.0,0.0
318,2023-04-02T10:54:10Z,sen-taku.jp,404,,,
319,2023-04-02T12:23:35Z,shadowsonwater.deviantart.com,301,,,
320,2023-04-02T10:56:31Z,shampooink.com,200,,1.0,0.0
321,2023-04-02T10:54:11Z,shunsokai-company.com,200,,0.0,0.0
322,2023-04-02T10:54:11Z,shunsokai-company.com,200,*,0.0,1.0
323,2023-04-02T11:42:48Z,siaptanding.beacukai.go.id,302,,,
324,2023-04-02T12:31:13Z,simplise.jp,200,,0.0,1.0
325,2023-04-02T12:10:21Z,skywater-pdk.readthedocs.io,302,,,
326,2023-04-02T12:19:17Z,soldbypeggy.com,404,,,
327,2023-04-02T11:00:20Z,somos.ipt.br,200,,0.0,0.0
328,2023-04-02T11:00:20Z,somos.ipt.br,200,*,1.0,0.0
329,2023-04-02T12:34:38Z,sp.crvab.com,404,,,
330,2023-04-02T11:31:51Z,specforum.smartbuy.ru,301,,,
331,2023-04-02T11:05:49Z,spiller.com,200,,0.0,0.0
332,2023-04-02T10:53:29Z,sture-alfredson.se,200,,1.0,0.0
333,2023-04-02T12:31:47Z,suhagratabs.com,403,,,
334,2023-04-02T10:53:56Z,tame.tw,200,,0.0,0.0
335,2023-04-02T10:53:56Z,tame.tw,200,*,22.0,1.0
336,2023-04-02T11:14:19Z,tamn.fr,200,,0.0,0.0
337,2023-04-02T11:14:19Z,tamn.fr,200,*,2.0,1.0
338,2023-04-02T12:28:13Z,tanaka-rie.com,200,,0.0,0.0
339,2023-04-02T12:28:13Z,tanaka-rie.com,200,*,1.0,1.0
340,2023-04-02T12:45:19Z,tarotaro.org,404,,,
341,2023-04-02T11:24:04Z,taxioprekening.nl,301,,,
342,2023-04-02T10:55:58Z,tenduinen.epsenkaas.be,404,,,
343,2023-04-02T11:45:45Z,the-glass-lady.com,200,,0.0,0.0
344,2023-04-02T11:45:45Z,the-glass-lady.com,200,*,15.0,0.0
345,2023-04-02T12:04:54Z,traeume-zu-zweit.de,404,,,
346,2023-04-02T11:17:02Z,transparencia.maragogi.al.gov.br:4041,404,,,
347,2023-04-02T10:54:53Z,triphints.ru,200,,0.0,0.0
348,2023-04-02T10:54:53Z,triphints.ru,200,ia_archiver,1.0,0.0
349,2023-04-02T10:54:53Z,triphints.ru,200,*,1.0,0.0
350,2023-04-02T11:22:40Z,twiplomacy.com,200,,0.0,0.0
351,2023-04-02T11:22:40Z,twiplomacy.com,200,*,0.0,1.0
352,2023-04-02T11:22:40Z,twiplomacy.com,200,AdsBot-Google-Mobile,0.0,0.0
353,2023-04-02T11:22:40Z,twiplomacy.com,200,AdsBot-Google,3.0,0.0
354,2023-04-02T11:22:40Z,twiplomacy.com,200,PetalBot,1.0,0.0
355,2023-04-02T11:38:25Z,uc.youshupai.com,404,,,
356,2023-04-02T10:55:38Z,ukrprawo.net,301,,,
357,2023-04-02T11:19:51Z,unfuck.cobp.resist.ca,200,,0.0,0.0
358,2023-04-02T11:19:51Z,unfuck.cobp.resist.ca,200,*,36.0,32.0
359,2023-04-02T11:08:07Z,ut.av924.com,404,,,
360,2023-04-02T12:28:07Z,ventas2.livepass.com.ar,503,,,
